window|窗户
board|写字板
light|灯；管灯
picture|画；图画
door|门
floor|地板
classroom|教室
many|许多的
our|我们的
classmate|同学
have a look|看一看
seat|座位
near|在…的旁边
new|新的
where|在哪里
computer|计算机
teacher's desk|讲台
wall|墙
fan|扇子；电扇
clean|打扫；清洁；擦干净的
good idea|好主意
all right|好吧；好的
good job|干得好
Chinese book|语文书
English book|英语书
math book|数学书
schoolbag|书包
story-book|故事书
notebook|笔记本
colour|颜色
fat|胖的
may|可以
sure|当然可以
here you are|给你
twenty -one|二十一
thirty|三十
thirty-one|三十一
forty|四十
forty-one|四十一
fifty|五十
too many|太多了
heavy|重的；沉重的
sorry|对不起
long hair|长头发
short hair|短头发
thin|瘦的
strong|强壮的
quiet|安静的
friend|朋友
Chinese|中文，汉语
photo|照片
music|音乐
science|科学
sports|体育运动
painting|绘画
her|她的
right|对的；正确的
study|书房
bathroom|卫生间
bedroom|卧室
living room|起居室
kitchen|厨房
fish|鱼
room|房间
open|打开
close|关上
phone|电话
sofa|沙发
shelf|书架
fridge|冰箱
rice|米饭
noodle(s)|面条（复数）
soup|汤
vegetable|蔬菜
beef|牛肉
dinner|晚餐；正餐
wait|等
hungry|饥饿的
knife|刀
chopstick(s)|筷子
spoon|勺子
plate|盘子
plane|飞机
fork|叉子
pass|传递
ready|准备好了
try|尝试
help yourself|随便吃
show|展示
yummy|好吃的
use|使用
family|家庭
parents|父母
uncle|叔叔；舅舅
aunt|姨；姑姑；婶
baby|婴儿
people|人
member|成员
only|只有；仅仅
puppy|小狗
driver|司机
doctor|医生
farm|农场
farmer|农民
nurse|护士
